"Date","Price","Open","High","Low","Change %"
"Sep 20, 2021","43,810.8","47,233.1","47,321.3","43,281.6","-7.25%"
"Sep 19, 2021","47,233.1","48,293.7","48,352.2","46,800.0","-2.20%"
"Sep 18, 2021","48,293.7","47,274.4","48,775.0","47,064.5","2.16%"
"Sep 17, 2021","47,274.4","47,753.8","48,139.2","46,793.8","-1.00%"
"Sep 16, 2021","47,753.8","48,124.6","48,467.1","47,029.3","-0.77%"
"Sep 15, 2021","48,124.6","47,077.9","48,411.8","46,729.5","2.22%"
"Sep 14, 2021","47,077.9","44,932.6","47,210.4","44,678.6","4.77%"
"Sep 13, 2021","44,932.6","46,040.9","46,829.8","43,413.1","-2.43%"
"Sep 12, 2021","46,053.6","45,153.2","46,400.0","44,742.0","1.99%"
"Sep 11, 2021","45,153.2","44,850.7","45,962.0","44,736.7","0.67%"
"Sep 10, 2021","44,850.7","46,359.8","47,035.4","44,201.0","-3.26%"
"Sep 09, 2021","46,359.8","46,059.3","47,397.2","45,526.9","0.65%"
"Sep 08, 2021","46,059.3","46,846.5","47,316.6","44,459.5","-1.67%"
"Sep 07, 2021","46,839.3","52,656.2","52,881.6","43,002.9","-11.05%"
"Sep 06, 2021","52,656.2","51,764.7","52,741.5","50,990.8","1.72%"
"Sep 05, 2021","51,764.7","49,909.6","51,879.9","49,485.0","3.72%"
"Sep 04, 2021","49,909.6","49,997.0","50,520.7","49,401.8","-0.17%"
"Sep 03, 2021","49,997.0","49,253.3","50,985.0","48,338.9","1.51%"
"Sep 02, 2021","49,253.3","48,835.5","50,366.8","48,597.1","0.86%"
"Sep 01, 2021","48,835.5","47,124.1","49,126.3","46,533.4","3.63%"
"Aug 31, 2021","47,124.1","46,966.9","48,180.8","46,709.2","0.33%"
"Aug 30, 2021","46,966.9","48,771.6","48,883.5","46,875.0","-3.70%"
"Aug 29, 2021","48,771.6","48,882.0","49,589.5","47,802.6","-0.23%"
"Aug 28, 2021","48,882.0","49,039.5","49,263.2","48,375.0","-0.32%"
"Aug 27, 2021","49,039.5","46,857.4","49,116.4","46,375.2","4.66%"
"Aug 26, 2021","46,857.4","48,979.1","49,330.0","46,297.2","-4.33%"
"Aug 25, 2021","48,979.1","47,688.2","49,221.1","47,149.6","2.71%"
"Aug 24, 2021","47,688.2","49,518.1","49,838.0","47,630.0","-3.73%"
"Aug 23, 2021","49,534.5","49,280.8","50,460.4","49,055.4","0.51%"
"Aug 22, 2021","49,280.8","48,830.6","49,466.1","48,056.6","0.92%"
"Aug 21, 2021","48,830.6","49,307.9","49,745.0","48,267.8","-0.97%"
"Aug 20, 2021","49,307.9","46,742.3","49,345.0","46,655.3","5.49%"
"Aug 19, 2021","46,742.3","44,706.2","46,986.1","43,953.1","4.55%"
"Aug 18, 2021","44,706.2","44,684.0","45,983.2","44,235.8","0.05%"
"Aug 17, 2021","44,684.0","45,919.2","47,119.4","44,430.2","-2.69%"
"Aug 16, 2021","45,917.3","46,972.5","48,000.0","45,675.0","-2.25%"
"Aug 15, 2021","46,972.5","47,064.0","47,325.8","45,505.1","-0.19%"
"Aug 14, 2021","47,064.0","47,821.6","48,058.9","46,038.8","-1.54%"
"Aug 13, 2021","47,799.0","44,400.4","47,859.7","44,250.0","7.65%"
"Aug 12, 2021","44,400.4","45,544.4","46,209.3","43,801.6","-2.53%"
"Aug 11, 2021","45,555.0","45,581.6","46,722.0","45,360.7","-0.06%"
"Aug 10, 2021","45,581.6","46,286.6","46,674.7","44,632.1","-1.52%"
"Aug 09, 2021","46,286.6","43,820.4","46,439.4","42,829.3","5.63%"
"Aug 08, 2021","43,820.4","44,574.3","45,279.4","43,278.8","-1.69%"
"Aug 07, 2021","44,574.3","42,800.6","44,685.4","42,465.8","4.14%"
"Aug 06, 2021","42,800.6","40,853.1","43,320.6","39,890.2","4.77%"
"Aug 05, 2021","40,853.1","39,743.2","41,349.6","37,350.0","2.79%"
"Aug 04, 2021","39,745.0","38,189.2","39,957.0","37,525.0","4.07%"
"Aug 03, 2021","38,189.2","39,143.8","39,753.3","37,675.0","-2.44%"
"Aug 02, 2021","39,143.8","39,857.0","40,431.0","38,702.1","-1.79%"
"Aug 01, 2021","39,857.0","41,380.1","42,550.0","39,451.0","-3.68%"
"Jul 31, 2021","41,380.1","42,191.8","42,386.2","41,052.1","-1.92%"
"Jul 30, 2021","42,191.8","40,012.0","42,287.3","38,325.9","5.45%"
"Jul 29, 2021","40,012.0","40,019.9","40,600.0","39,287.7","-0.02%"
"Jul 28, 2021","40,019.9","39,489.8","40,830.7","38,800.0","1.34%"
"Jul 27, 2021","39,489.8","37,264.2","39,489.8","36,402.0","5.97%"
"Jul 26, 2021","37,264.2","35,374.2","40,559.5","35,209.8","5.34%"
"Jul 25, 2021","35,374.2","34,718.3","35,375.2","33,871.7","4.65%"
"Jul 24, 2021","33,802.0","33,589.1","33,999.8","33,400.3","0.83%"
"Jul 23, 2021","33,523.3","32,292.8","33,582.6","31,999.6","3.81%"
"Jul 22, 2021","32,292.8","32,131.0","32,575.1","31,725.0","0.54%"
"Jul 21, 2021","32,119.5","29,789.7","32,749.4","29,469.6","7.82%"
"Jul 20, 2021","29,789.7","30,825.2","31,036.2","29,238.5","-3.36%"
"Jul 19, 2021","30,825.2","31,760.8","31,873.1","30,407.3","-2.95%"
"Jul 18, 2021","31,760.8","31,523.0","32,381.8","31,133.4","0.75%"
"Jul 17, 2021","31,523.0","31,402.8","31,921.7","31,194.0","0.38%"
"Jul 16, 2021","31,402.8","31,835.3","32,198.0","31,008.1","-1.36%"
"Jul 15, 2021","31,835.3","32,827.6","33,155.2","31,152.4","-3.02%"
"Jul 14, 2021","32,827.6","32,739.4","33,089.0","31,600.0","0.27%"
"Jul 13, 2021","32,739.4","33,105.5","33,320.8","32,224.4","-1.24%"
"Jul 12, 2021","33,150.0","34,222.4","34,638.5","32,671.7","-3.13%"
